"","X","OpCode","ID","x","y"
"1",1,"T1_300722",1,1172,-105
"2",2,"T1_300722",2,1051,-90
"3",3,"T1_300722",3,762,-53
"4",4,"T1_300722",4,653,-78
"5",5,"T1_300722",5,749,-150
"6",6,"T1_300722",6,205,6
"7",7,"T1_300722",7,249,83
"8",8,"T1_300722",8,-250,-65
"9",9,"T1_300722",9,-450,-21
"10",10,"T1_300722",10,-562,-74
"11",11,"T1_310722_am",1,1051,-90
"12",12,"T1_310722_am",2,902,-110
"13",13,"T1_310722_am",3,762,-53
"14",14,"T1_310722_am",4,749,-150
"15",15,"T1_310722_am",5,666,-118
"16",16,"T1_310722_am",6,708,-149
"17",17,"T1_310722_am",7,-450,-21
"18",18,"T1_310722_am",8,-562,-74
"19",19,"T1_310722_am",9,-615,-147
"20",20,"T1_310722_am",10,-515,-45
"21",21,"T1_310722_pm(1)",1,1051,-90
"22",22,"T1_310722_pm(1)",2,902,-110
"23",23,"T1_310722_pm(1)",3,749,-150
"24",24,"T1_310722_pm(1)",4,708,-149
"25",25,"T1_310722_pm(1)",5,687,-138
"26",26,"T1_310722_pm(1)",6,625,-21
"27",27,"T1_310722_pm(1)",7,667,-117
"28",28,"T1_310722_pm(1)",8,205,6
"29",29,"T1_310722_pm(1)",9,-450,-21
"30",30,"T1_310722_pm(1)",10,-562,-74
"31",31,"T1_310722_pm(1)",11,-1420,-90
"32",32,"T1_310722_pm(1)",12,-1378,-175
"33",33,"T1_310722_pm(2)",1,749,-150
"34",34,"T1_310722_pm(2)",2,667,-117
"35",35,"T1_310722_pm(2)",3,625,-21
"36",36,"T1_310722_pm(2)",4,205,6
"37",37,"T1_310722_pm(2)",5,-450,-21
"38",38,"T1_310722_pm(2)",6,-561,-74
"39",39,"T1_310722_pm(2)",7,-1419,-90
"40",40,"T1_310722_pm(2)",8,-1378,-175
"41",41,"T1_010822",1,1172,-104
"42",42,"T1_010822",2,1051,-90
"43",43,"T1_010822",3,902,-110
"44",44,"T1_010822",4,667,-117
"45",45,"T1_010822",5,708,-149
"46",46,"T1_010822",6,624,-20
"47",47,"T1_010822",7,205,6
"48",48,"T1_010822",8,251,85
"49",49,"T1_010822",9,-450,-21
"50",50,"T1_010822",10,-562,-74
"51",51,"T1_010822",11,-514,-46
"52",52,"T1_010822",12,-1420,-91
"53",53,"T1_010822",13,-1378,-175
