"","OpCode","Time","Z","X","Family","Genus","Species","Stage","Number"
"1","T2_300722",1.1211,-1150.634,-339.529,"Reference","Reference","Reference","",1
"2","T2_300722",1.1211,-2041.757,825.284,"Reference","Reference","Reference","",2
"3","T2_300722",1.1211,-1910.088,1015.606,"Scaridae","Scarus","croicensus","J",1
"4","T2_300722",1.1211,-1962.7,734.577,"Scaridae","Scarus","croicensus","J",1
"5","T2_300722",1.3425,-1643.868,247.608,"Reference","Reference","Reference","",4
"6","T2_300722",1.3425,-1704.519,846.843,"Reference","Reference","Reference","",3
"7","T2_300722",1.3425,-2829.553,500.087,"Scaridae","Scarus","croicensus","J",1
"8","T2_300722",1.6111,-2481.668,593.294,"Reference","Reference","Reference","",5
"9","T2_300722",1.6111,-3065.745,78.666,"Reference","Reference","Reference","",6
"10","T2_300722",1.6111,-3642.847,-320.083,"Labridae","Bodianus","rufus","AD",1
"11","T2_300722",1.6111,-3678.023,154.417,"Pomacentridae","Chromis","cyanea","AD",1
"12","T2_300722",1.6111,-3441.132,102.239,"Pomacentridae","Chromis","cyanea","AD",2
"13","T2_300722",1.6111,-4393.656,245.803,"Pomacentridae","Chromis","cyanea","AD",3
"14","T2_300722",2.3574,-2586.739,-1067.863,"Lutjanidae","Lutjanus","apodus","AD",1
"15","T2_300722",2.3574,-3460.489,-226.072,"Reference","Reference","Reference","",7
"16","T2_300722",2.3574,-3162.254,-503.116,"Reference","Reference","Reference","",8
"17","T2_300722",2.7505,-2523.996,-569.62,"Reference","Reference","Reference","",9
"18","T2_300722",2.7505,-8423.382,99.807,"Reference","Reference","Reference","",13
"19","T2_300722",2.7505,-2286.067,-458.446,"Chaetodontidae","Chaetodon","capistratus","AD",1
"20","T2_300722",2.7505,-2257.006,-720.13,"Tetraodontidae","Canthigaster","rostrata","AD",1
"21","T2_300722",3.0264,-3767.046,594.425,"Reference","Reference","Reference","",11
"22","T2_300722",3.0264,-5521.366,2123.239,"Reference","Reference","Reference","",12
"23","T2_300722",3.0264,-2816.895,101.462,"Lutjanidae","Lutjanus","apodus","AD",1
"24","T2_300722",3.0264,-2064.322,-620.003,"Lutjanidae","Lutjanus","apodus","AD",2
"25","T2_300722",3.4985,-2536.051,854.68,"Reference","Reference","Reference","",12
"26","T2_300722",3.4985,-3113.963,1461.137,"Reference","Reference","Reference","",13
"27","T2_300722",3.4985,-1554.239,-428.209,"Scaridae","Scarus","croicensus","J",1
"28","T2_300722",3.6926,-2164.81,-693.152,"Labridae","Halichoeres","bivittatus","J",1
"29","T2_300722",3.6926,-2017.013,429.344,"Reference","Reference","Reference","AD",13
"30","T2_300722",3.6926,-5069.376,737.821,"Reference","Reference","Reference","",15
"31","T2_300722",3.7065,-1849.232,388.705,"Reference","Reference","Reference","",13
"32","T2_300722",3.7065,-4855.948,660.338,"Reference","Reference","Reference","",15
"33","T2_300722",3.7065,-1707.938,-240.42,"Scaridae","Sparisoma","viride","J",15
"34","T2_300722",3.8483,-2090.832,-391.785,"Scaridae","Scarus","croicensus","J",1
"35","T2_300722",3.8483,-3978.27,1454.742,"Reference","Reference","Reference","",16
"36","T2_300722",3.8483,-3846.304,-68.684,"Reference","Reference","Reference","",15
"37","T2_310722_am",1.0711,-1634.544,-511.969,"Reference","Reference","Reference","",1
"38","T2_310722_am",1.0711,-2790.91,391.325,"Reference","Reference","Reference","",2
"39","T2_310722_am",1.0711,-3363.981,1043.926,"Pomacentridae","Chromis","cyanea","AD",1
"40","T2_310722_am",1.0711,-2979.044,665.982,"Pomacentridae","Chromis","cyanea","AD",2
"41","T2_310722_am",2.2478,-3026.777,-602.492,"Chaetodontidae","Chaetodon","capistratus","AD",1
"42","T2_310722_am",2.2478,-3748.304,-324.871,"Reference","Reference","Reference","",7
"43","T2_310722_am",2.2478,-3396.142,-570.514,"Reference","Reference","Reference","",8
"44","T2_310722_am",2.9897,-1222.62,-297.421,"Reference","Reference","Reference","",9
"45","T2_310722_am",2.9897,-4315.913,396.853,"Reference","Reference","Reference","",11
"46","T2_310722_am",2.9897,-1016.578,-292.532,"Scaridae","Scarus","croicensus","J",1
"47","T2_310722_am",2.9897,-3178.734,476.711,"Acanthuridae","Acanthurus","coeruleus","AD",1
"48","T2_310722_am",3.2427,-2653.62,1300.138,"Pomacentridae","Chromis","cyanea","AD",1
"49","T2_310722_am",3.2427,-2744.452,827.056,"Reference","Reference","Reference","",11
"50","T2_310722_am",3.2427,-4483.097,2654.852,"Reference","Reference","Reference","",12
"51","T2_310722_am",3.5085,-1218.037,-5.498,"Reference","Reference","Reference","",11
"52","T2_310722_am",3.5085,-3218.192,1243.327,"Reference","Reference","Reference","",12
"53","T2_310722_am",3.5085,-2117.947,642.292,"Labridae","Clepticus","parrae","AD",1
"54","T2_310722_am",3.5085,-2209.285,459.94,"Labridae","Clepticus","parrae","AD",2
"55","T2_310722_am",3.5085,-2180.2,366.934,"Labridae","Clepticus","parrae","AD",3
"56","T2_310722_am",3.5085,-2355.041,84.91,"Labridae","Clepticus","parrae","AD",4
"57","T2_310722_am",3.5085,-2886.07,138.685,"Labridae","Clepticus","parrae","AD",5
"58","T2_310722_am",3.5085,-2606.169,-37.108,"Labridae","Clepticus","parrae","AD",6
"59","T2_310722_am",3.5085,-2589.172,71.667,"Labridae","Clepticus","parrae","AD",7
"60","T2_310722_am",3.5085,-2445.067,53.232,"Labridae","Clepticus","parrae","AD",8
"61","T2_310722_am",3.5085,-2070.19,-145.864,"Labridae","Clepticus","parrae","AD",9
"62","T2_310722_am",3.5085,-2244.016,-184.32,"Labridae","Clepticus","parrae","AD",10
"63","T2_310722_am",3.5085,-2354.286,-184.343,"Labridae","Clepticus","parrae","AD",11
"64","T2_310722_am",3.5085,-2263.827,-207.229,"Labridae","Clepticus","parrae","AD",12
"65","T2_310722_am",3.5085,-2202.947,-236.168,"Labridae","Clepticus","parrae","AD",13
"66","T2_310722_am",3.5085,-2355.733,-222.307,"Labridae","Clepticus","parrae","AD",14
"67","T2_310722_am",3.603,-2620.645,895.157,"Reference","Reference","Reference","",12
"68","T2_310722_am",3.603,-3259.68,1514.571,"Reference","Reference","Reference","",13
"69","T2_310722_am",3.603,-2243.008,1136.469,"Kyphosidae","Kyphosus","sectatrix","AD",1
"70","T2_310722_am",3.603,-2785.855,1566.472,"Pomacentridae","Chromis","cyanea","AD",1
"71","T2_310722_am",3.736,-5644.015,1595.278,"Reference","Reference","Reference","",15
"72","T2_310722_am",3.736,-2616.233,860.576,"Reference","Reference","Reference","",13
"73","T2_310722_am",3.736,-3414.966,1547.796,"Kyphosidae","Kyphosus","sectatrix","AD",1
"74","T2_310722_am",3.736,-3672.531,1727.661,"Kyphosidae","Kyphosus","sectatrix","AD",2
"75","T2_310722_pm(1)",1.6767,-1902.572,-157.178,"Reference","Reference","Reference","",1
"76","T2_310722_pm(1)",1.6767,-2784.617,993.001,"Reference","Reference","Reference","",2
"77","T2_310722_pm(1)",1.6767,-4020.992,915.062,"Scaridae","Scarus","croicensus","J",1
"78","T2_310722_pm(1)",1.6767,-4913.994,-199.307,"Scaridae","Sparisoma","rubripinne","J",1
"79","T2_310722_pm(1)",1.6911,-6630.592,2957.79,"Pomacentridae","Abudefduf","saxatilis","AD",1
"80","T2_310722_pm(1)",1.6911,-6817.716,3246.262,"Pomacentridae","Abudefduf","saxatilis","AD",1
"81","T2_310722_pm(1)",1.6911,-7316.863,3909.924,"Pomacentridae","Abudefduf","saxatilis","AD",1
"82","T2_310722_pm(1)",1.6911,-7333.66,4252.387,"Pomacentridae","Abudefduf","saxatilis","AD",1
"83","T2_310722_pm(1)",1.6911,-7846.388,3576.259,"Pomacentridae","Abudefduf","saxatilis","AD",1
"84","T2_310722_pm(1)",1.6911,-1835.657,-222.212,"Reference","Reference","Reference","",1
"85","T2_310722_pm(1)",1.6911,-2731.637,930.66,"Reference","Reference","Reference","",2
"86","T2_310722_pm(1)",1.7873,-1247.383,-357.865,"Reference","Reference","Reference","",1
"87","T2_310722_pm(1)",1.7873,-2141.785,808.944,"Reference","Reference","Reference","",2
"88","T2_310722_pm(1)",1.7873,-3068.969,-857.741,"Scaridae","Sparisoma","viride","J",1
"89","T2_310722_pm(1)",2.2395,-2506.752,834.612,"Reference","Reference","Reference","",5
"90","T2_310722_pm(1)",2.2395,-3146.169,462.282,"Reference","Reference","Reference","",17
"91","T2_310722_pm(1)",2.2395,-1204.161,261.016,"Acanthuridae","Acanthurus","coeruleus","AD",1
"92","T2_310722_pm(1)",2.309,-2242.966,429.349,"Reference","Reference","Reference","",5
"93","T2_310722_pm(1)",2.309,-2791.222,-86.778,"Reference","Reference","Reference","",17
"94","T2_310722_pm(1)",2.309,-3720.654,2038.056,"Lutjanidae","Ocyurus","chrysurus","AD",1
"95","T2_310722_pm(1)",2.309,-6789.547,3704.051,"Lutjanidae","Ocyurus","chrysurus","AD",1
"96","T2_310722_pm(1)",2.309,-4294.03,1979.756,"Pomacentridae","Chromis","cyanea","AD",1
"97","T2_310722_pm(1)",2.309,-7126.843,1868.188,"Lutjanidae","Ocyurus","chrysurus","AD",1
"98","T2_310722_pm(1)",2.3379,-3124.794,-645.22,"Grammatidae","Gramma","loreto","AD",1
"99","T2_310722_pm(1)",2.3379,-2112.454,268.083,"Reference","Reference","Reference","",5
"100","T2_310722_pm(1)",2.3379,-2615.051,-289.167,"Reference","Reference","Reference","",17
