id,time,file,behaviour,type,family,stage,comment
1,1101.203,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,intruder,Heterospecific,Damselfish,Adult,Yellowtail damselfish
1,398.765,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(1).MP4,intruder,Heterospecific,Grouper,Adult,Barred hamlet
1,585.018,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(1).MP4,intruder,Heterospecific,Grouper,Unknown,Graysby
1,1265,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,intruder,Heterospecific,Grouper,Unknown,Graysby
1,1688.293,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(3).MP4,intruder,Heterospecific,Grouper,Adult,Barred hamlet
1,1479.417,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(3).MP4,aggression,Heterospecific,Parrotfish,Juvenile,Striped parrotfish x 3
1,1661.499,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(3).MP4,aggression,Heterospecific,Parrotfish,Juvenile,Striped parrotfish x 3
1,770.006,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish x 5
1,1267.202,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,intruder,Heterospecific,Parrotfish,Adult,Redband parrotfish
1,1675.813,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(3).MP4,intruder,Heterospecific,Parrotfish,Adult,Striped parrotfish
1,1747.285,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(3).MP4,intruder,Heterospecific,Parrotfish,Juvenile,"Stripped parrotfish
"
1,770.206,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,intruder,Heterospecific,Pufferfish,Adult,Sharpnose pufferfish
1,1139.541,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,aggression,None,Unknown,Unknown,
1,1557.495,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(3).MP4,aggression,Heterospecific,Wrasse,Juvenile,Bluehead wrasse
1,380.547,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(1).MP4,intruder,Heterospecific,Wrasse,Juvenile,"Bluehead wrasse x 4
"
1,683.65,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(1).MP4,intruder,Heterospecific,Wrasse,Adult,Spanish hogfish
1,770.139,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse
1,830.566,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID1/CV_T1_ID1(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Puddingwife
4,956.692,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Butterflyfish,Adult,Foureye butterflyfish
4,329.396,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis x 2
4,1493.331,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(3).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
4,305.305,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,aggression,Conspecific,Damselfish,Adult,
4,1624.295,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(3).MP4,aggression,Conspecific,Damselfish,Juvenile,Threespot damselfish
4,659.526,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,intruder,Conspecific,Damselfish,Adult,Three-spot damselfish
4,471.404,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,intruder,Heterospecific,Grouper,Unknown,Graysby
4,736.572,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Grouper,Adult,Barred hamlet
4,1340.576,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Grouper,Adult,Graysby
4,1506.878,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(3).MP4,intruder,Heterospecific,Grouper,Adult,Barred hamlet
4,601.835,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,intruder,Heterospecific,Filefish,Unknown,Scrawled filefish
4,399.332,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,intruder,Heterospecific,Parrotfish,Adult,Redtail parrotfish
4,614.981,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,intruder,Heterospecific,Parrotfish,Adult,Redtail parrotfish
