Family,Genus,Species,Diet
Scaridae,Sparisoma,aurofrenatum,Herbivore
Pomacentridae,Chromis,cyanea,Planktivore
Acanthuridae,Acanthurus,coeruleus,Herbivore
Scaridae,Scarus,croicensus,Herbivore
Mullidae,Mulloidichthys,martinicus,Zoobenthos
Diodontidae,Diodon,hystrix,Zoobenthos
Labridae,Thalassoma,bifasciatum,Zoobenthos
Pomacentridae,Abudefduf,saxatilis,Zoobenthos
Scaridae,Scarus,taeniopterus,Herbivore
Kyphosidae,Kyphosus,sectatrix,Herbivore
Serranidae,Hypoplectrus,puella,Zoobenthos
Lutjanidae,Ocyurus,chrysurus,Zoobenthos
Scaridae,Sparisoma,viride,Herbivore
Labridae,Clepticus,parrae,Zoobenthos
Pomacanthidae,Pomacanthus,paru,Zoobenthos
Labridae,Bodianus,rufus,Zoobenthos
Chaetodontidae,Chaetodon,capistratus,Zoobenthos
Tetraodontidae,Canthigaster,rostrata,Herbivore
Lutjanidae,Lutjanus,apodus,Zoobenthos
Labridae,Clepticus,parrae,Zoobenthos
Grammatidae,Gramma,loreto,Zoobenthos
Labridae,Halichoeres,bivittatus,Zoobenthos
Scaridae,Sparisoma,rubripinne,Herbivore
Chaetodontidae,Chaetodon,ocellatus,Zoobenthos
